64186.0,51051.0,38838.0,61134.0,46277.0,64170.0,52696.0,38844.0,38836.0,56634.0
80.0,45827.0,47065.0,14697.0,41161.0,42333.0,29328.0,38156.0,53853.0,56760.0
7133.0,42339.0,58693.0,38561.0,51617.0,58688.0,2974.0,9357.0,46207.0,65579.0
8776.0,47188.0,51327.0,67791.0,53404.0,47238.0,41210.0,44539.0,48360.0,8363.0
16951.0,12989.0,35198.0,53792.0,53890.0,33611.0,20335.0,3159.0,8307.0,23110.0
48416.0,52517.0,34427.0,63879.0,67207.0,44250.0,38353.0,47228.0,47660.0,17552.0
5490.0,47389.0,61068.0,58700.0,38823.0,56647.0,40318.0,30269.0,65644.0,30215.0
48075.0,6197.0,26952.0,31105.0,32892.0,48862.0,63612.0,58528.0,31090.0,60349.0
56748.0,50017.0,41041.0,48787.0,66.0,40369.0,43281.0,55963.0,65481.0,2983.0
55086.0,29738.0,12836.0,53146.0,60195.0,37713.0,32359.0,51207.0,23827.0,61549.0
45243.0,38842.0,62252.0,58681.0,44952.0,40782.0,50656.0,49119.0,50951.0,66254.0
25693.0,60531.0,18300.0,81.0,40411.0,21573.0,19945.0,7955.0,2020.0,8773.0
53916.0,16363.0,56649.0,24933.0,54996.0,66622.0,66673.0,59891.0,7768.0,39270.0
7226.0,51110.0,53995.0,50382.0,60983.0,54506.0,12033.0,58112.0,47113.0,67369.0
55925.0,2578.0,35351.0,3655.0,8354.0,63175.0,1619.0,19876.0,49961.0,9866.0
56765.0,56766.0,44070.0,64439.0,1987.0,39504.0,50870.0,64199.0,38897.0,56434.0
33354.0,45274.0,38976.0,21031.0,54369.0,52391.0,58654.0,50892.0,56980.0,56103.0
5260.0,44077.0,40563.0,38620.0,4696.0,473.0,51020.0,11856.0,41892.0,58825.0
56941.0,51382.0,9611.0,62151.0,7692.0,29233.0,41554.0,2088.0,61250.0,66930.0
22015.0,43181.0,26976.0,17514.0,34362.0,30558.0,40447.0,51864.0,46173.0,46255.0
9902.0,2009.0,29272.0,18285.0,29330.0,24935.0,7278.0,21526.0,55753.0,1342.0
2083.0,5466.0,7981.0,5120.0,6230.0,56658.0,44072.0,45876.0,52639.0,29697.0
29046.0,67415.0,48451.0,4341.0,16401.0,48756.0,63013.0,67100.0,50312.0,5984.0
49305.0,50824.0,54511.0,42340.0,4866.0,5126.0,44487.0,50890.0,27845.0,64036.0
33743.0,8301.0,22680.0,50319.0,63031.0,37566.0,54769.0,61684.0,27432.0,56589.0
58616.0,55102.0,33300.0,32079.0,58782.0,64207.0,32084.0,39386.0,44073.0,38849.0
